"","FLAG_VALIDO","PRO_COM_T_DT_FI","COMUNE_DT_FI","COD_UTS_DT_FI","DEN_UTS_DT_FI","COD_REG_DT_FI","DEN_REG_DT_FI","COD_STABILIMENTO"
"1",1,"001001","Agliè","201","Torino","01","Piemonte","001TO"
"2",1,"001002","Airasca","201","Torino","01","Piemonte","002TO"
"3",1,"001003","Ala di Stura","201","Torino","01","Piemonte","003TO"
"4",1,"001004","Albiano d'Ivrea","201","Torino","01","Piemonte","004TO"
"5",1,"001006","Almese","201","Torino","01","Piemonte","006TO"
"6",1,"001007","Alpette","201","Torino","01","Piemonte","007TO"
"7",1,"001008","Alpignano","201","Torino","01","Piemonte","008TO"
"8",1,"001009","Andezeno","201","Torino","01","Piemonte","009TO"
"9",1,"001010","Andrate","201","Torino","01","Piemonte","010TO"
"10",1,"001011","Angrogna","201","Torino","01","Piemonte","011TO"
"11",1,"001012","Arignano","201","Torino","01","Piemonte","012TO"
"12",1,"001013","Avigliana","201","Torino","01","Piemonte","013TO"
"13",1,"001014","Azeglio","201","Torino","01","Piemonte","014TO"
"14",1,"001015","Bairo","201","Torino","01","Piemonte","015TO"
"15",1,"001016","Balangero","201","Torino","01","Piemonte","016TO"
"16",1,"001017","Baldissero Canavese","201","Torino","01","Piemonte","017TO"
"17",1,"001018","Baldissero Torinese","201","Torino","01","Piemonte","018TO"
"18",1,"001019","Balme","201","Torino","01","Piemonte","019TO"
"19",1,"001020","Banchette","201","Torino","01","Piemonte","020TO"
"20",1,"001021","Barbania","201","Torino","01","Piemonte","021TO"
"21",1,"001022","Bardonecchia","201","Torino","01","Piemonte","022TO"
"22",1,"001023","Barone Canavese","201","Torino","01","Piemonte","023TO"
"23",1,"001024","Beinasco","201","Torino","01","Piemonte","024TO"
"24",1,"001025","Bibiana","201","Torino","01","Piemonte","025TO"
"25",1,"001026","Bobbio Pellice","201","Torino","01","Piemonte","026TO"
"26",1,"001027","Bollengo","201","Torino","01","Piemonte","027TO"
"27",1,"001028","Borgaro Torinese","201","Torino","01","Piemonte","028TO"
"28",1,"001029","Borgiallo","201","Torino","01","Piemonte","029TO"
"29",1,"001030","Borgofranco d'Ivrea","201","Torino","01","Piemonte","030TO"
"30",1,"001031","Borgomasino","201","Torino","01","Piemonte","031TO"
"31",1,"001032","Borgone Susa","201","Torino","01","Piemonte","032TO"
"32",1,"001033","Bosconero","201","Torino","01","Piemonte","033TO"
"33",1,"001034","Brandizzo","201","Torino","01","Piemonte","034TO"
"34",1,"001035","Bricherasio","201","Torino","01","Piemonte","035TO"
"35",1,"001036","Brosso","201","Torino","01","Piemonte","036TO"
"36",1,"001037","Brozolo","201","Torino","01","Piemonte","037TO"
"37",1,"001038","Bruino","201","Torino","01","Piemonte","038TO"
"38",1,"001039","Brusasco","201","Torino","01","Piemonte","039TO"
"39",1,"001040","Bruzolo","201","Torino","01","Piemonte","040TO"
"40",1,"001041","Buriasco","201","Torino","01","Piemonte","041TO"
"41",1,"001042","Burolo","201","Torino","01","Piemonte","042TO"
"42",1,"001043","Busano","201","Torino","01","Piemonte","043TO"
"43",1,"001044","Bussoleno","201","Torino","01","Piemonte","044TO"
"44",1,"001045","Buttigliera Alta","201","Torino","01","Piemonte","045TO"
"45",1,"001046","Cafasse","201","Torino","01","Piemonte","046TO"
"46",1,"001047","Caluso","201","Torino","01","Piemonte","047TO"
"47",1,"001048","Cambiano","201","Torino","01","Piemonte","048TO"
"48",1,"001049","Campiglione Fenile","201","Torino","01","Piemonte","049TO"
"49",1,"001050","Candia Canavese","201","Torino","01","Piemonte","050TO"
"50",1,"001051","Candiolo","201","Torino","01","Piemonte","051TO"
"51",1,"001052","Canischio","201","Torino","01","Piemonte","052TO"
"52",1,"001053","Cantalupa","201","Torino","01","Piemonte","053TO"
"53",1,"001054","Cantoira","201","Torino","01","Piemonte","054TO"
"54",1,"001055","Caprie","201","Torino","01","Piemonte","055TO"
"55",1,"001056","Caravino","201","Torino","01","Piemonte","056TO"
"56",1,"001057","Carema","201","Torino","01","Piemonte","057TO"
"57",1,"001058","Carignano","201","Torino","01","Piemonte","058TO"
"58",1,"001059","Carmagnola","201","Torino","01","Piemonte","059TO"
"59",1,"001060","Casalborgone","201","Torino","01","Piemonte","060TO"
"60",1,"001061","Cascinette d'Ivrea","201","Torino","01","Piemonte","061TO"
"61",1,"001062","Caselette","201","Torino","01","Piemonte","062TO"
"62",1,"001063","Caselle Torinese","201","Torino","01","Piemonte","063TO"
"63",1,"001064","Castagneto Po","201","Torino","01","Piemonte","064TO"
"64",1,"001065","Castagnole Piemonte","201","Torino","01","Piemonte","065TO"
"65",1,"001066","Castellamonte","201","Torino","01","Piemonte","066TO"
"66",1,"001067","Castelnuovo Nigra","201","Torino","01","Piemonte","067TO"
"67",1,"001068","Castiglione Torinese","201","Torino","01","Piemonte","068TO"
"68",1,"001069","Cavagnolo","201","Torino","01","Piemonte","069TO"
"69",1,"001070","Cavour","201","Torino","01","Piemonte","070TO"
"70",1,"001071","Cercenasco","201","Torino","01","Piemonte","071TO"
"71",1,"001072","Ceres","201","Torino","01","Piemonte","072TO"
"72",1,"001073","Ceresole Reale","201","Torino","01","Piemonte","073TO"
"73",1,"001074","Cesana Torinese","201","Torino","01","Piemonte","074TO"
"74",1,"001075","Chialamberto","201","Torino","01","Piemonte","075TO"
"75",1,"001076","Chianocco","201","Torino","01","Piemonte","076TO"
"76",1,"001077","Chiaverano","201","Torino","01","Piemonte","077TO"
"77",1,"001078","Chieri","201","Torino","01","Piemonte","078TO"
"78",1,"001079","Chiesanuova","201","Torino","01","Piemonte","079TO"
"79",1,"001080","Chiomonte","201","Torino","01","Piemonte","080TO"
"80",1,"001081","Chiusa di San Michele","201","Torino","01","Piemonte","081TO"
"81",1,"001082","Chivasso","201","Torino","01","Piemonte","082TO"
"82",1,"001083","Ciconio","201","Torino","01","Piemonte","083TO"
"83",1,"001084","Cintano","201","Torino","01","Piemonte","084TO"
"84",1,"001085","Cinzano","201","Torino","01","Piemonte","085TO"
"85",1,"001086","Ciriè","201","Torino","01","Piemonte","086TO"
"86",1,"001087","Claviere","201","Torino","01","Piemonte","087TO"
"87",1,"001088","Coassolo Torinese","201","Torino","01","Piemonte","088TO"
"88",1,"001089","Coazze","201","Torino","01","Piemonte","089TO"
"89",1,"001090","Collegno","201","Torino","01","Piemonte","090TO"
"90",1,"001091","Colleretto Castelnuovo","201","Torino","01","Piemonte","091TO"
"91",1,"001092","Colleretto Giacosa","201","Torino","01","Piemonte","092TO"
"92",1,"001093","Condove","201","Torino","01","Piemonte","093TO"
"93",1,"001094","Corio","201","Torino","01","Piemonte","094TO"
"94",1,"001095","Cossano Canavese","201","Torino","01","Piemonte","095TO"
"95",1,"001096","Cuceglio","201","Torino","01","Piemonte","096TO"
"96",1,"001097","Cumiana","201","Torino","01","Piemonte","097TO"
"97",1,"001098","Cuorgnè","201","Torino","01","Piemonte","098TO"
"98",1,"001099","Druento","201","Torino","01","Piemonte","099TO"
"99",1,"001100","Exilles","201","Torino","01","Piemonte","100TO"
"100",1,"001101","Favria","201","Torino","01","Piemonte","101TO"
"101",1,"001102","Feletto","201","Torino","01","Piemonte","102TO"
"102",1,"001103","Fenestrelle","201","Torino","01","Piemonte","103TO"
"103",1,"001104","Fiano","201","Torino","01","Piemonte","104TO"
"104",1,"001105","Fiorano Canavese","201","Torino","01","Piemonte","105TO"
"105",1,"001106","Foglizzo","201","Torino","01","Piemonte","106TO"
"106",1,"001107","Forno Canavese","201","Torino","01","Piemonte","107TO"
"107",1,"001108","Frassinetto","201","Torino","01","Piemonte","108TO"
"108",1,"001109","Front","201","Torino","01","Piemonte","109TO"
"109",1,"001110","Frossasco","201","Torino","01","Piemonte","110TO"
"110",1,"001111","Garzigliana","201","Torino","01","Piemonte","111TO"
"111",1,"001112","Gassino Torinese","201","Torino","01","Piemonte","112TO"
"112",1,"001113","Germagnano","201","Torino","01","Piemonte","113TO"
"113",1,"001114","Giaglione","201","Torino","01","Piemonte","114TO"
"114",1,"001115","Giaveno","201","Torino","01","Piemonte","115TO"
"115",1,"001116","Givoletto","201","Torino","01","Piemonte","116TO"
"116",1,"001117","Gravere","201","Torino","01","Piemonte","117TO"
"117",1,"001118","Groscavallo","201","Torino","01","Piemonte","118TO"
"118",1,"001119","Grosso","201","Torino","01","Piemonte","119TO"
"119",1,"001120","Grugliasco","201","Torino","01","Piemonte","120TO"
"120",1,"001121","Ingria","201","Torino","01","Piemonte","121TO"
"121",1,"001122","Inverso Pinasca","201","Torino","01","Piemonte","122TO"
"122",1,"001123","Isolabella","201","Torino","01","Piemonte","123TO"
"123",1,"001124","Issiglio","201","Torino","01","Piemonte","124TO"
"124",1,"001125","Ivrea","201","Torino","01","Piemonte","125TO"
"125",1,"001126","La Cassa","201","Torino","01","Piemonte","126TO"
"126",1,"001127","La Loggia","201","Torino","01","Piemonte","127TO"
"127",1,"001128","Lanzo Torinese","201","Torino","01","Piemonte","128TO"
"128",1,"001129","Lauriano","201","Torino","01","Piemonte","129TO"
"129",1,"001130","Leini","201","Torino","01","Piemonte","130TO"
"130",1,"001131","Lemie","201","Torino","01","Piemonte","131TO"
"131",1,"001132","Lessolo","201","Torino","01","Piemonte","132TO"
"132",1,"001133","Levone","201","Torino","01","Piemonte","133TO"
"133",1,"001134","Locana","201","Torino","01","Piemonte","134TO"
"134",1,"001135","Lombardore","201","Torino","01","Piemonte","135TO"
"135",1,"001136","Lombriasco","201","Torino","01","Piemonte","136TO"
"136",1,"001137","Loranzè","201","Torino","01","Piemonte","137TO"
"137",1,"001139","Luserna San Giovanni","201","Torino","01","Piemonte","139TO"
"138",1,"001140","Lusernetta","201","Torino","01","Piemonte","140TO"
"139",1,"001141","Lusigliè","201","Torino","01","Piemonte","141TO"
"140",1,"001142","Macello","201","Torino","01","Piemonte","142TO"
"141",1,"001143","Maglione","201","Torino","01","Piemonte","143TO"
"142",1,"001144","Marentino","201","Torino","01","Piemonte","144TO"
"143",1,"001145","Massello","201","Torino","01","Piemonte","145TO"
"144",1,"001146","Mathi","201","Torino","01","Piemonte","146TO"
"145",1,"001147","Mattie","201","Torino","01","Piemonte","147TO"
"146",1,"001148","Mazzè","201","Torino","01","Piemonte","148TO"
"147",1,"001149","Meana di Susa","201","Torino","01","Piemonte","149TO"
"148",1,"001150","Mercenasco","201","Torino","01","Piemonte","150TO"
"149",1,"001152","Mezzenile","201","Torino","01","Piemonte","152TO"
"150",1,"001153","Mombello di Torino","201","Torino","01","Piemonte","153TO"
"151",1,"001154","Mompantero","201","Torino","01","Piemonte","154TO"
"152",1,"001155","Monastero di Lanzo","201","Torino","01","Piemonte","155TO"
"153",1,"001156","Moncalieri","201","Torino","01","Piemonte","156TO"
"154",1,"001157","Moncenisio","201","Torino","01","Piemonte","157TO"
"155",1,"001158","Montaldo Torinese","201","Torino","01","Piemonte","158TO"
"156",1,"001159","Montalenghe","201","Torino","01","Piemonte","159TO"
"157",1,"001160","Montalto Dora","201","Torino","01","Piemonte","160TO"
"158",1,"001161","Montanaro","201","Torino","01","Piemonte","161TO"
