"COD_RIP","COD_REG","COD_PROV","COD_CM","COD_UTS","PRO_COM","PRO_COM_T","COMUNE","COMUNE_A","CC_UTS","Shape_Leng","Shape_Area"
"1","01","001",201,"201",1001,"001001","Agliè",NA,0,18035.2540007,13146257.6661
"1","01","001",201,"201",1002,"001002","Airasca",NA,0,18408.9069884,15739313.3213
"1","01","001",201,"201",1003,"001003","Ala di Stura",NA,0,31834.156081,46331560.2074
"1","01","001",201,"201",1004,"001004","Albiano d'Ivrea",NA,0,18927.262827,11739690.225
"1","01","001",201,"201",1006,"001006","Almese",NA,0,17057.4139642,17874124.5214
"1","01","001",201,"201",1007,"001007","Alpette",NA,0,9742.54551158,5631110.28264
"1","01","001",201,"201",1008,"001008","Alpignano",NA,0,17983.1548922,11919253.2455
"1","01","001",201,"201",1009,"001009","Andezeno",NA,0,13091.3340003,7485924.27309
"1","01","001",201,"201",1010,"001010","Andrate",NA,0,20137.4964019,9308998.05827
"1","01","001",201,"201",1011,"001011","Angrogna",NA,0,35441.7027386,38878137.6267
"1","01","001",201,"201",1012,"001012","Arignano",NA,0,14096.3290967,8166560.07288
"1","01","001",201,"201",1013,"001013","Avigliana",NA,0,25874.4703804,23217274.7995
"1","01","001",201,"201",1014,"001014","Azeglio",NA,0,22549.0384802,9952821.0089
"1","01","001",201,"201",1015,"001015","Bairo",NA,0,12861.4749609,7085932.61854
"1","01","001",201,"201",1016,"001016","Balangero",NA,0,18438.5104334,13006509.7374
"1","01","001",201,"201",1017,"001017","Baldissero Canavese",NA,0,10678.7807036,4506404.51054
"1","01","001",201,"201",1018,"001018","Baldissero Torinese",NA,0,22083.2482549,15404566.6958
"1","01","001",201,"201",1019,"001019","Balme",NA,0,37159.9832512,62710494.4878
"1","01","001",201,"201",1020,"001020","Banchette",NA,0,13860.1654299,2028894.14066
"1","01","001",201,"201",1021,"001021","Barbania",NA,0,16482.4605468,12802737.3603
"1","01","001",201,"201",1022,"001022","Bardonecchia",NA,0,60522.4785822,132202973.038
"1","01","001",201,"201",1023,"001023","Barone Canavese",NA,0,14980.2082301,3986427.67454
"1","01","001",201,"201",1024,"001024","Beinasco",NA,0,18929.4178398,6736647.27677
"1","01","001",201,"201",1025,"001025","Bibiana",NA,0,25364.2520041,18598654.8456
"1","01","001",201,"201",1026,"001026","Bobbio Pellice",NA,0,45762.0449704,94082023.8262
"1","01","001",201,"201",1027,"001027","Bollengo",NA,0,19885.6007631,14223733.5482
"1","01","001",201,"201",1028,"001028","Borgaro Torinese",NA,0,18976.7161146,11109256.112
"1","01","001",201,"201",1029,"001029","Borgiallo",NA,0,17887.2218841,6964697.64591
"1","01","001",201,"201",1030,"001030","Borgofranco d'Ivrea",NA,0,20063.558344,13418967.6147
"1","01","001",201,"201",1031,"001031","Borgomasino",NA,0,14605.7405427,12371272.3581
"1","01","001",201,"201",1032,"001032","Borgone Susa",NA,0,11530.8155652,4961644.53207
"1","01","001",201,"201",1033,"001033","Bosconero",NA,0,20795.1675254,10919061.1094
"1","01","001",201,"201",1034,"001034","Brandizzo",NA,0,11283.298729,6390036.10827
"1","01","001",201,"201",1035,"001035","Bricherasio",NA,0,25513.6363764,22758291.229
"1","01","001",201,"201",1036,"001036","Brosso",NA,0,18986.5092157,11135020.7934
"1","01","001",201,"201",1037,"001037","Brozolo",NA,0,14318.3475459,8947130.90634
"1","01","001",201,"201",1038,"001038","Bruino",NA,0,11601.458578,5570178.35181
"1","01","001",201,"201",1039,"001039","Brusasco",NA,0,22955.5672905,14359111.9017
"1","01","001",201,"201",1040,"001040","Bruzolo",NA,0,22712.816835,12559738.4322
"1","01","001",201,"201",1041,"001041","Buriasco",NA,0,18378.3336135,14686781.1726
"1","01","001",201,"201",1042,"001042","Burolo",NA,0,13222.7082599,5476030.34719
"1","01","001",201,"201",1043,"001043","Busano",NA,0,14570.6978293,5059145.35239
"1","01","001",201,"201",1044,"001044","Bussoleno",NA,0,39617.3038376,37066070.8367
"1","01","001",201,"201",1045,"001045","Buttigliera Alta",NA,0,11651.6975142,8097288.85954
"1","01","001",201,"201",1046,"001046","Cafasse",NA,0,16172.7967191,10231279.3205
"1","01","001",201,"201",1047,"001047","Caluso",NA,0,29078.6479727,39492363.6769
"1","01","001",201,"201",1048,"001048","Cambiano",NA,0,28250.8725776,14131273.229
"1","01","001",201,"201",1049,"001049","Campiglione Fenile",NA,0,15645.3053813,11086385.8452
"1","01","001",201,"201",1050,"001050","Candia Canavese",NA,0,18094.8313278,9131800.99192
"1","01","001",201,"201",1051,"001051","Candiolo",NA,0,20161.8161101,11849862.9134
"1","01","001",201,"201",1052,"001052","Canischio",NA,0,16311.6704624,11950435.5217
"1","01","001",201,"201",1053,"001053","Cantalupa",NA,0,16171.6937918,11195293.5382
"1","01","001",201,"201",1054,"001054","Cantoira",NA,0,21020.8854939,23031852.2146
"1","01","001",201,"201",1055,"001055","Caprie",NA,0,21296.1549545,16407749.0219
"1","01","001",201,"201",1056,"001056","Caravino",NA,0,23766.6921484,11536975.2306
"1","01","001",201,"201",1057,"001057","Carema",NA,0,16060.4961172,10259070.2396
"1","01","001",201,"201",1058,"001058","Carignano",NA,0,81341.3892112,50679076.5921
"1","01","001",201,"201",1059,"001059","Carmagnola",NA,0,87534.8232919,95716342.5813
"1","01","001",201,"201",1060,"001060","Casalborgone",NA,0,24039.0149185,20123789.6929
"1","01","001",201,"201",1061,"001061","Cascinette d'Ivrea",NA,0,7197.78163589,2172587.69327
"1","01","001",201,"201",1062,"001062","Caselette",NA,0,19332.921275,14314115.0311
"1","01","001",201,"201",1063,"001063","Caselle Torinese",NA,0,23264.3804633,23551225.1517
"1","01","001",201,"201",1064,"001064","Castagneto Po",NA,0,16358.3538071,11524518.367
"1","01","001",201,"201",1065,"001065","Castagnole Piemonte",NA,0,21521.4919496,17279540.0444
"1","01","001",201,"201",1066,"001066","Castellamonte",NA,0,56625.8771759,38706288.6259
"1","01","001",201,"201",1067,"001067","Castelnuovo Nigra",NA,0,48698.3435819,28375559.2426
"1","01","001",201,"201",1068,"001068","Castiglione Torinese",NA,0,20672.5406876,14134563.9183
"1","01","001",201,"201",1069,"001069","Cavagnolo",NA,0,20704.064802,12328634.1916
"1","01","001",201,"201",1070,"001070","Cavour",NA,0,42191.0402389,48959874.6916
"1","01","001",201,"201",1071,"001071","Cercenasco",NA,0,20246.5045575,13159561.3071
"1","01","001",201,"201",1072,"001072","Ceres",NA,0,29480.5073786,28051610.6216
"1","01","001",201,"201",1073,"001073","Ceresole Reale",NA,0,50979.0751808,99816392.2934
"1","01","001",201,"201",1074,"001074","Cesana Torinese",NA,0,68703.0266893,121700596.1
"1","01","001",201,"201",1075,"001075","Chialamberto",NA,0,27419.7639452,35447901.3271
"1","01","001",201,"201",1076,"001076","Chianocco",NA,0,21410.5692075,18613210.8891
"1","01","001",201,"201",1077,"001077","Chiaverano",NA,0,18164.9315483,12022374.0023
"1","01","001",201,"201",1078,"001078","Chieri",NA,0,40134.9730835,54196722.061
"1","01","001",201,"201",1079,"001079","Chiesanuova",NA,0,10776.113522,4118733.73865
"1","01","001",201,"201",1080,"001080","Chiomonte",NA,0,24597.5448071,26754962.7548
"1","01","001",201,"201",1081,"001081","Chiusa di San Michele",NA,0,12814.0515483,5916710.40785
"1","01","001",201,"201",1082,"001082","Chivasso",NA,0,34066.7738613,51202736.157
"1","01","001",201,"201",1083,"001083","Ciconio",NA,0,9303.60958035,3163830.90276
"1","01","001",201,"201",1084,"001084","Cintano",NA,0,27864.848793,4934447.86773
"1","01","001",201,"201",1085,"001085","Cinzano",NA,0,12240.524309,6196450.20971
"1","01","001",201,"201",1086,"001086","Ciriè",NA,0,19572.5311109,17732890.9046
"1","01","001",201,"201",1087,"001087","Claviere",NA,0,11393.0349463,2687060.44887
